GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US360810001001000,360810001001000,"Block 1000, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001001,360810001001001,"Block 1001, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001002,360810001001002,"Block 1002, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001003,360810001001003,"Block 1003, Block Group 1, Census Tract 1, Queens County, New York",30
1000000US360810001001004,360810001001004,"Block 1004, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001005,360810001001005,"Block 1005, Block Group 1, Census Tract 1, Queens County, New York",771
1000000US360810001001006,360810001001006,"Block 1006, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001007,360810001001007,"Block 1007, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001008,360810001001008,"Block 1008, Block Group 1, Census Tract 1, Queens County, New York",929
1000000US360810001001009,360810001001009,"Block 1009, Block Group 1, Census Tract 1, Queens County, New York",996
1000000US360810001001010,360810001001010,"Block 1010, Block Group 1, Census Tract 1, Queens County, New York",827
1000000US360810001001011,360810001001011,"Block 1011, Block Group 1, Census Tract 1, Queens County, New York",765
1000000US360810001001012,360810001001012,"Block 1012, Block Group 1, Census Tract 1, Queens County, New York",283
1000000US360810001001013,360810001001013,"Block 1013, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001014,360810001001014,"Block 1014, Block Group 1, Census Tract 1, Queens County, New York",82
1000000US360810001001015,360810001001015,"Block 1015, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001016,360810001001016,"Block 1016, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001017,360810001001017,"Block 1017, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001018,360810001001018,"Block 1018, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001019,360810001001019,"Block 1019, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001020,360810001001020,"Block 1020, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001021,360810001001021,"Block 1021, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001022,360810001001022,"Block 1022, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001023,360810001001023,"Block 1023, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001024,360810001001024,"Block 1024, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001025,360810001001025,"Block 1025, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001026,360810001001026,"Block 1026, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001027,360810001001027,"Block 1027, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001028,360810001001028,"Block 1028, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001029,360810001001029,"Block 1029, Block Group 1, Census Tract 1, Queens County, New York",255
1000000US360810001001030,360810001001030,"Block 1030, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001031,360810001001031,"Block 1031, Block Group 1, Census Tract 1, Queens County, New York",11
1000000US360810001001032,360810001001032,"Block 1032, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001033,360810001001033,"Block 1033, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001034,360810001001034,"Block 1034, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001035,360810001001035,"Block 1035, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001036,360810001001036,"Block 1036, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001037,360810001001037,"Block 1037, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001038,360810001001038,"Block 1038, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001039,360810001001039,"Block 1039, Block Group 1, Census Tract 1, Queens County, New York",0
1000000US360810001001040,360810001001040,"Block 1040, Block Group 1, Census Tract 1, Queens County, New York",0
