GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",1052,352
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1618,247
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",534,319
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2245,469
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1547,386
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1888,633
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1802,429
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1650,631
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",2962,1108
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",646,420
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",608,251
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",2807,873
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2092,757
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",9008,937
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1148,424
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1397,439
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1918,534
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",1772,443
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1972,476
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",1092,363
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1733,169
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",1485,158
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",1861,471
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",1443,613
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",2605,638
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",1819,256
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",772,203
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",1135,237
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",2195,341
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",2342,354
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",1630,292
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",1569,168
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",1556,258
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",1346,331
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",3437,400
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",2402,331
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",938,238
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",3352,496
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",4395,574
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",2596,656
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",871,341
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",1348,564
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",1392,490
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",1012,357
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",1304,410
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",649,376
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",1588,366
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",551,157
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",676,225
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",1874,528
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",1349,558
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",0,11
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",2255,427
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",1664,345
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",801,205
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",3189,570
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",3299,421
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",1702,424
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",945,283
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",1346,363
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",2553,541
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",1937,188
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,11
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",3742,558
1500000US360610024002,360610024002,"Block Group 2, Census Tract 24, New York County, New York",1384,313
1500000US360610025000,360610025000,"Block Group 0, Census Tract 25, New York County, New York",0,11
1500000US360610025001,360610025001,"Block Group 1, Census Tract 25, New York County, New York",2638,414
1500000US360610025002,360610025002,"Block Group 2, Census Tract 25, New York County, New York",654,271
1500000US360610025003,360610025003,"Block Group 3, Census Tract 25, New York County, New York",2019,592
1500000US360610026011,360610026011,"Block Group 1, Census Tract 26.01, New York County, New York",2025,276
1500000US360610026012,360610026012,"Block Group 2, Census Tract 26.01, New York County, New York",2114,356
1500000US360610026021,360610026021,"Block Group 1, Census Tract 26.02, New York County, New York",1590,337
1500000US360610026022,360610026022,"Block Group 2, Census Tract 26.02, New York County, New York",2699,359
1500000US360610027001,360610027001,"Block Group 1, Census Tract 27, New York County, New York",1400,196
1500000US360610028001,360610028001,"Block Group 1, Census Tract 28, New York County, New York",1240,479
1500000US360610028002,360610028002,"Block Group 2, Census Tract 28, New York County, New York",1338,375
1500000US360610028003,360610028003,"Block Group 3, Census Tract 28, New York County, New York",2248,559
1500000US360610028004,360610028004,"Block Group 4, Census Tract 28, New York County, New York",2534,385
1500000US360610029001,360610029001,"Block Group 1, Census Tract 29, New York County, New York",1474,365
1500000US360610029002,360610029002,"Block Group 2, Census Tract 29, New York County, New York",1353,403
